"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"COFFEE & STONE CAFE, LLC","54 WEBSTER  STREET,  NORTH TONAWANDA","11/13/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Niagara County","NIAGARA","54 WEBSTER  STREET","NORTH TONAWANDA","14120","310300","NO. TONAWANDA","COFFEE & STONE CAFE, LLC","09/30/2026",,"COFFEE & STONE CAFE, LLC","CORBETT","WILLIAM","1099477","Inspection","NOTE: |All coolers < 45 dF/thermometers OK|Food thermometer accurate/available|Freezers OK|Hot holds > 140 dF|Hand barriers & hair restraints OK|Hand wash sink OK|Chlorine dishwasher min 50 ppm OK (checked with inspector's test strips)|QUAT sanitizer @ sink OK (200 ppm, checked with inspector's test strips)|Mop sink OK|Restrooms OK|Storage OK|Restrooms OK|Permit Posted |Choking Poster OK|CPR Kit OK","NY","(43.02346, -78.87794)"
"WEST POINT PIZZA & RESTAURANT","282 MAIN STREET,  HIGHLAND FALLS","09/18/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","282 MAIN STREET","HIGHLAND FALLS","10928","352400","HIGHLANDS","West Point Pizza & Restaurant","09/30/2026",,"Kent Foods, Inc.","Kentimenos","Anastasios","601732","Inspection",,"NY","(41.37006, -73.965448)"
"Subway - Maplefields Peru","654 Bear Swamp Road,  Peru","02/26/2025","Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;","0","0","1","Food Service Establishment - Restaurant","Clinton County","CLINTON","654 Bear Swamp Road","Peru","12972","096000","PERU","Subway - Maplefields Peru","12/31/2026",,"R.L. Vallee Inc.","Vallee","Jack","269918","Inspection","The facility was clean and sanitary. Hand wash sinks were equipped with the appropriate amenities and were fully accessible. Bucket sanitizer solutions with wiping cloths and sanitizer utensil buckets at the front prep counter tested 100ppm. Refrigeration units had visible ambient thermometers and cold and hot held foods were at appropriate temperatures.","NY","(44.57751, -73.50838)"
"Meier's Creek Brewing Co.","720 Van Renssalear STREET,  Syracuse","10/22/2025","Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","1","0","5","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","720 Van Renssalear STREET","Syracuse","13204","330100","SYRACUSE","Meier's Creek Brewing Co.","01/31/2027",,"Rocale LLC","Fedele","Cody","1076644","Inspection","At the time of inspection: |•	Current 2025 Food Service Permit is posted.  |•	Metal stem/probe thermometer noted at facility.  |•	All coolers operating properly to keep potentially hazardous foods at or below 45 degrees F.  |•	All hot holding units operating properly to keep potentially hazardous foods at or above 140 degrees F.  |Sink and surface sanitizer levels sufficient. Dishwashers final rinse temperature noted between 190F-195F. Gloves and hair restraints seen in use. Required signage posted. |Reminders:   DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following:  Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant.|Please note this permit expires on January 31st 2026.  Permit renewal paperwork will be mailed at the end of December.","NY","(43.0604, -76.16774)"
"DOWNSVILLE CENTRAL SCHOOL CAFETERIA","14784 State Highway 30,  Downsville","07/09/2025","No violations found.","0","0","0","SED Summer Feeding Prog. - SED Food Preparation Site","Oneonta District Office","DELAWARE","14784 State Highway 30","Downsville","13755","125200","COLCHESTER","DOWNSVILLE CENTRAL Summer Feeding Program","09/30/2026",,,,,"1068418","Inspection","1. No violations noted at the time of the inspection.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions.|3. Education regarding the Department’s Food Allergen Law was provided.  The operator was advised that they must post a notice to their employees raising food allergy awareness.  The notice must contain information on 1) the process to follow when a customer notifies an employee of a food allergy, 2) how to avoid cross-contact, and 3) the procedures to be followed in the event a customer experiences an allergic reaction, including when to call 9-1-1. The notice must be posted in a conspicuous location, and in at least one of the languages spoken by each employee, provided those languages are among those translated by the Department. The law also requires that food service establishments include the following statement on their menu or menu assembly: “If you have a food allergy, please notify us,” along with a message informing customers that allergen information is available for prepared food items. If the menu is written in a language other than English and is one that the Department makes a translation for, the menu statement must be written in that language. Please be advised that online menus must also include this statement, and a method by which a customer can indicate if they have a food allergy.  In response to this law, the Department created a Food Allergy Awareness notice containing information for food service establishment employees on food allergies. This notice, and the required menu statement, are available on the Department’s website in English as well as the top six languages spoken in the State; https://www.health.ny.gov/environmental/indoors/food_safety/guidance.htm","NY","(42.072684, -75.005247)"
"MICHAEL'S DINER","26 MAIN STREET,  FULTONVILLE","04/23/2025","Item 14A-   Insects, rodents present;","0","0","1","Food Service Establishment - Restaurant","Herkimer District Office","MONTGOMERY","26 MAIN STREET","FULTONVILLE","12072","282300","GLEN","MICHAEL'S DINER","06/30/2026",,,"GRANDY","MICHAEL","662306","Inspection","Proper hot/cold holding temperatures observed.  Sanitizer at 100 ppm. Refrigeration satisfactory.  Restroom stocked and clean.  |Continue to monitor for rodent activity. (Operator states only sporadically observed. )  To have professionally serviced should presence escalate. |Floor has been repaired since last inspection. Ceiling panels have been updated.","NY","(42.947595, -74.370686)"
"FAIRPORT PICKLEBALL CLUB","75 NORTH MAIN STREET,  FAIRPORT","11/24/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","0","0","2","Food Service Establishment - Restaurant","Monroe County","MONROE","75 NORTH MAIN STREET","FAIRPORT","14450","272500","PERINTON","FAIRPORT PICKLEBALL CLUB","12/31/2024",,,,,"1128973","Inspection",,"NY","(43.10441, -77.44287)"
"Western Ranch Motor Inn","1255 STATE FAIR BOULEVARD,  SYRACUSE","12/18/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean;","0","0","3","Food Service Establishment - Food Service Establishment","Onondaga County","ONONDAGA","1255 STATE FAIR BOULEVARD","SYRACUSE","13209","335600","GEDDES","Western Ranch Motor Inn","02/01/2027",,"WJ Gaworecki Jr. Enterprises Inc.","Gaworecki, Jr.","Walter","527636","Inspection","Adequate temperatures observed at time of visit as follows: elk patties - 38F; chicken wings - 39F; chicken tenders - 40F; meat sauce - 43F; baked potatoes - 44F; ground beef - 35F; beef cuts - 37F.","NY","(43.107855, -76.257881)"
"YOUNG WOMEN'S COLLEGE PREP CHARTER","133 HOOVER DRIVE,  ROCHESTER","10/07/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","0","0","2","Institutional Food Service - School K-12 Food Service","Monroe County","MONROE","133 HOOVER DRIVE","ROCHESTER","14615","275400","GREECE","YOUNG WOMEN'S COLLEGE PREP CHARTER","12/31/2019",,,,,"943199","Inspection",,"NY","(43.203615, -77.671795)"
"COOPERSTOWN BEAVER VALLEY CG","138 TOWERS ROAD,  MILFORD","05/29/2025","Item  1B-  Critical Violation [RED] Water/ice: unsafe, unapproved sources, cross connections;","1","0","0","Food Service Establishment - Bakery","Oneonta District Office","OTSEGO","138 TOWERS ROAD","MILFORD","13807","385600","HARTWICK","Coop. Beaver Valley - Food Service","02/28/2027",,,,,"351114","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.|3. Education regarding the Department’s Food Allergen Law was provided.  The operator was advised that they must post a notice to their employees raising food allergy awareness.  The notice must contain information on 1) the process to follow when a customer notifies an employee of a food allergy, 2) how to avoid cross-contact, and 3) the procedures to be followed in the event a customer experiences an allergic reaction, including when to call 9-1-1. The notice must be posted in a conspicuous location, and in at least one of the languages spoken by each employee, provided those languages are among those translated by the Department. The law also requires that food service establishments include the following statement on their menu or menu assembly: “If you have a food allergy, please notify us,” along with a message informing customers that allergen information is available for prepared food items. If the menu is written in a language other than English and is one that the Department makes a translation for, the menu statement must be written in that language. Please be advised that online menus must also include this statement, and a method by which a customer can indicate if they have a food allergy.  In response to this law, the Department created a Food Allergy Awareness notice containing information for food service establishment employees on food allergies. This notice, and the required menu statement, are available on the Department’s website in English as well as the top six languages spoken in the State; https://www.health.ny.gov/environmental/indoors/food_safety/guidance.htm|4. Facility does not currently use the kitchen for public events but plans to in future. No food preparation occurring at time of inspection.","NY","(42.7002, -74.92304)"
"Pine Junction","9757 BAILEY HILL ROAD,  SHERMAN","12/18/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Chautauqua County","CHAUTAUQUA","9757 BAILEY HILL ROAD","SHERMAN","14781","066600","MINA","Pine Junction","03/31/2026",,"PINE JUNCTION INC","POUND","SHIRLEE","535382","Inspection",,"NY","(42.118969, -79.697237)"
"ALBA'S RESTAURANT","400 NORTH MAIN STREET,  PORT CHESTER","11/24/2025","Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","4","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","400 NORTH MAIN STREET","PORT CHESTER","10573","590600","RYE","ALBA'S RESTAURANT","03/31/2026",,"BRIKENA RESTAURANT CORP.","BALIDEMAJ","RAMA","481248","Inspection","All measured hot and cold holding temperatures adequate at time of inspection. Observed staff using utensils to handle ready to eat food items. Extermination services currently being provided 2x a month by On target pest control with last dates of service on 10/27 and 11/11. Services MUST continue. Recommended walking through with exterminator to seal off any potential entrances into facility. Observed all dry bulk goods such as pastas, flour, onions stored in rodent proof containers in basement dry storage area. Shellfish tags present on site and retained for 90 days. Observed shellfish tags attached to bag and remain attached until bag is completed. Observed proper wash, rinse, and sanitizing being conducted on 3 compartment sink. High temp dish machine reaching adequate sanitizing temperatures of 180F or greater. Food allergen certified staff present on site by Esad Vucetaj. Food allergen posters handed at this time. Poster must be displayed in both english and spanish in customer and food handler areas. |Links to new food allergen and single service laws, posters, and approved certifications may be found below:|NEW FOOD ALLERGEN AND AS PER REQUEST LAWS|New food allergy posters, approved certifications, and Single Service requirements may be found on the county website:|https://health.westchestergov.com/sanitation|Westchester County English Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylaw.pdf |Westchester County Spanish Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylawsp.pdf|Other Languages: https://www.health.ny.gov/environmental/indoors/food_safety/fse_signage.htm","NY","(41.008333, -73.657107)"
"AROMA THYME BISTRO","165 CANAL STREET,  ELLENVILLE","11/06/2025","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","1","Food Service Establishment - Food Service Establishment","Ulster County","ULSTER","165 CANAL STREET","ELLENVILLE","12428","556800","WAWARSING","AROMA THYME BISTRO","02/28/2026",,"AROMA THYME BISTRO, INC.","GUILIANO","MARCUS","316807","Inspection","soap dispenser installed at hand wash station. coolers at 45f or below. gloves onsite. sanitizer onsite. probe thermometers onsite. discussed defrosting vacuum packaged fish with owners - Always check the packaging for specific thawing instructions, as some fish may have unique requirements.","NY","(41.716059, -74.392227)"
